retailer,retailer_id,sell_date,region,state,city,product_category,price_per_unit,units_sold,operating_margin_share,sales_method
Foot Locker,1185732,2/5/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,50,950,"0,25",Аутлет
Foot Locker,1185732,2/6/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,60,1220,"0,50",Аутлет
Foot Locker,1185732,2/7/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,925,"0,30",Аутлет
Foot Locker,1185732,2/8/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,50,900,"0,35",Аутлет
Foot Locker,1185732,2/9/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,50,850,"0,35",Аутлет
Foot Locker,1185732,2/10/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,875,"0,30",Аутлет
Foot Locker,1185732,3/3/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,65,1000,"0,25",Аутлет
Foot Locker,1185732,3/4/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,60,1250,"0,50",Аутлет
Foot Locker,1185732,3/5/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,1000,"0,30",Аутлет
Foot Locker,1185732,3/6/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,50,925,"0,35",Аутлет
Foot Locker,1185732,3/7/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,50,900,"0,35",Аутлет
Foot Locker,1185732,3/8/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,900,"0,30",Аутлет
Foot Locker,1185732,3/9/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,65,1050,"0,25",Аутлет
Foot Locker,1185732,3/10/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,60,1275,"0,50",Аутлет
Foot Locker,1185732,3/11/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,1025,"0,30",Аутлет
Foot Locker,1185732,3/12/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,50,950,"0,35",Аутлет
Foot Locker,1185732,3/13/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,50,900,"0,35",Аутлет
Foot Locker,1185732,3/14/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,925,"0,30",Аутлет
Foot Locker,1185732,3/15/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,65,1100,"0,25",Аутлет
Foot Locker,1185732,3/16/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,60,1250,"0,50",Аутлет
Foot Locker,1185732,3/17/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,1025,"0,30",Аутлет
Foot Locker,1185732,3/18/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,50,950,"0,35",Аутлет
Foot Locker,1185732,3/31/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,50,925,"0,35",Аутлет
Walmart,1185732,4/17/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,900,"0,30",Аутлет
Walmart,1185732,4/18/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,65,1075,"0,25",Аутлет
Walmart,1185732,4/19/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,60,1200,"0,50",Аутлет
Walmart,1185732,4/20/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,1000,"0,30",Аутлет
Walmart,1185732,4/21/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,50,925,"0,35",Аутлет
Walmart,1185732,4/22/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,50,900,"0,35",Аутлет
Walmart,1185732,4/23/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,900,"0,30",Аутлет
Walmart,1185732,4/24/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,65,1000,"0,25",Аутлет
Walmart,1185732,4/25/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,65,875,"0,30",Аутлет
Walmart,1185732,4/26/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,70,1000,"0,25",Аутлет
Walmart,1185732,4/27/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,65,1150,"0,50",Аутлет
Walmart,1185732,4/28/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,975,"0,30",Аутлет
Walmart,1185732,4/29/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,55,920,"0,35",Аутлет
Walmart,1185732,4/30/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,55,900,"0,35",Аутлет
Walmart,1185732,5/1/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,65,875,"0,30",Аутлет
Walmart,1185732,5/2/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,70,975,"0,25",Аутлет
Walmart,1185732,5/3/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,65,1200,"0,50",Аутлет
Walmart,1185732,5/4/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,55,1000,"0,30",Аутлет
Walmart,1185732,5/5/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,55,950,"0,35",Аутлет
Walmart,1185732,5/6/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,55,900,"0,35",Аутлет
Walmart,1185732,5/7/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,65,900,"0,30",Аутлет
Walmart,1185732,7/18/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,70,1000,"0,25",Аутлет
Sports Direct,1197831,7/19/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,25,900,"0,35",Аутлет
Sports Direct,1197831,7/20/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,35,900,"0,35",Аутлет
Sports Direct,1197831,7/21/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,35,700,"0,35",Аутлет
Sports Direct,1197831,7/22/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,35,700,"0,45",Аутлет
Sports Direct,1197831,7/23/2020,Юг,Техас,Хьюстон,Мужская одежда,40,550,"0,30",Аутлет
Sports Direct,1197831,7/24/2020,Юг,Техас,Хьюстон,Женская одежда,35,700,"0,50",Аутлет
Sports Direct,1197831,7/25/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,25,850,"0,35",Аутлет
Sports Direct,1197831,7/26/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,35,850,"0,35",Аутлет
Sports Direct,1197831,7/27/2020,Юг,Техас,Хьюстон,Женская уличная обувь,35,675,"0,35",Аутлет
Sports Direct,1197831,7/28/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,35,625,"0,45",Аутлет
Sports Direct,1197831,7/29/2020,Юг,Техас,Хьюстон,Мужская одежда,40,500,"0,30",Аутлет
Sports Direct,1197831,7/30/2020,Юг,Техас,Хьюстон,Женская одежда,35,700,"0,50",Аутлет
Sports Direct,1197831,7/31/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,30,875,"0,35",Аутлет
Sports Direct,1197831,8/1/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,40,875,"0,35",Аутлет
Sports Direct,1197831,8/2/2020,Юг,Техас,Хьюстон,Женская уличная обувь,35,700,"0,35",Аутлет
Sports Direct,1197831,8/3/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,600,"0,45",Аутлет
Sports Direct,1197831,8/4/2020,Юг,Техас,Хьюстон,Мужская одежда,45,500,"0,30",Аутлет
Sports Direct,1197831,8/5/2020,Юг,Техас,Хьюстон,Женская одежда,40,650,"0,50",Аутлет
Sports Direct,1197831,8/6/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,30,900,"0,35",Аутлет
Sports Direct,1197831,8/7/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,40,900,"0,35",Аутлет
Sports Direct,1197831,8/8/2020,Юг,Техас,Хьюстон,Женская уличная обувь,35,725,"0,35",Аутлет
Sports Direct,1197831,8/9/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,625,"0,45",Аутлет
Walmart,1197831,8/10/2020,Юг,Техас,Хьюстон,Мужская одежда,45,525,"0,30",Аутлет
Walmart,1197831,8/11/2020,Юг,Техас,Хьюстон,Женская одежда,40,800,"0,50",Аутлет
Walmart,1197831,8/12/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,30,925,"0,35",Аутлет
Walmart,1197831,8/13/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,40,925,"0,35",Аутлет
Walmart,1197831,8/14/2020,Юг,Техас,Хьюстон,Женская уличная обувь,35,775,"0,35",Аутлет
Walmart,1197831,8/15/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,700,"0,45",Аутлет
Walmart,1197831,8/16/2020,Юг,Техас,Хьюстон,Мужская одежда,45,600,"0,30",Аутлет
Walmart,1197831,8/17/2020,Юг,Техас,Хьюстон,Женская одежда,40,950,"0,50",Аутлет
Walmart,1197831,8/18/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,40,950,"0,35",Аутлет
Walmart,1197831,8/19/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,950,"0,35",Аутлет
Walmart,1197831,8/20/2020,Юг,Техас,Хьюстон,Женская уличная обувь,40,800,"0,35",Аутлет
Walmart,1197831,8/21/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,750,"0,45",Аутлет
Walmart,1197831,8/22/2020,Юг,Техас,Хьюстон,Мужская одежда,45,650,"0,30",Аутлет
Walmart,1197831,8/23/2020,Юг,Техас,Хьюстон,Женская одежда,50,1000,"0,50",Аутлет
Walmart,1197831,8/24/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,40,950,"0,35",Аутлет
Walmart,1197831,8/25/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,950,"0,35",Аутлет
Walmart,1197831,8/26/2020,Юг,Техас,Хьюстон,Женская уличная обувь,40,1100,"0,35",Аутлет
Walmart,1197831,8/27/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,700,"0,45",Аутлет
Walmart,1197831,8/28/2020,Юг,Техас,Хьюстон,Мужская одежда,45,700,"0,30",Аутлет
Walmart,1197831,8/29/2020,Юг,Техас,Хьюстон,Женская одежда,50,975,"0,50",Аутлет
Walmart,1197831,8/30/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,40,925,"0,35",Аутлет
Walmart,1197831,8/31/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,925,"0,35",Аутлет
Walmart,1197831,9/1/2020,Юг,Техас,Хьюстон,Женская уличная обувь,40,1100,"0,35",Аутлет
Walmart,1197831,9/2/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,40,650,"0,45",Аутлет
Walmart,1197831,9/3/2020,Юг,Техас,Хьюстон,Мужская одежда,45,650,"0,30",Аутлет
Walmart,1197831,9/4/2020,Юг,Техас,Хьюстон,Женская одежда,50,900,"0,50",Аутлет
Walmart,1197831,9/5/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,45,850,"0,35",Аутлет
Walmart,1197831,9/6/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,850,"0,35",Аутлет
Walmart,1197831,9/7/2020,Юг,Техас,Хьюстон,Женская уличная обувь,50,900,"0,35",Аутлет
Walmart,1197831,9/8/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,50,625,"0,45",Аутлет
Walmart,1197831,9/9/2020,Юг,Техас,Хьюстон,Мужская одежда,45,625,"0,30",Аутлет
Walmart,1197831,9/10/2020,Юг,Техас,Хьюстон,Женская одежда,55,850,"0,50",Аутлет
Walmart,1197831,9/11/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,45,800,"0,35",Аутлет
Walmart,1197831,9/12/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,800,"0,35",Аутлет
Walmart,1197831,9/13/2020,Юг,Техас,Хьюстон,Женская уличная обувь,50,750,"0,35",Аутлет
Walmart,1197831,9/14/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,50,600,"0,45",Аутлет
Walmart,1197831,9/15/2020,Юг,Техас,Хьюстон,Мужская одежда,45,575,"0,30",Аутлет
Walmart,1197831,9/16/2020,Юг,Техас,Хьюстон,Женская одежда,55,750,"0,50",Аутлет
Walmart,1197831,10/20/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,45,900,"0,35",Аутлет
Walmart,1197831,10/21/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,900,"0,35",Аутлет
Walmart,1197831,10/22/2020,Юг,Техас,Хьюстон,Женская уличная обувь,50,825,"0,35",Аутлет
Walmart,1197831,10/23/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,50,675,"0,45",Аутлет
Walmart,1197831,10/24/2020,Юг,Техас,Хьюстон,Мужская одежда,45,650,"0,30",Аутлет
Walmart,1197831,10/25/2020,Юг,Техас,Хьюстон,Женская одежда,55,850,"0,50",Аутлет
Walmart,1197831,10/26/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,45,950,"0,35",Аутлет
Walmart,1197831,10/27/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,45,950,"0,35",Аутлет
Walmart,1197831,10/28/2020,Юг,Техас,Хьюстон,Женская уличная обувь,50,850,"0,35",Аутлет
Walmart,1197831,10/29/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,50,700,"0,45",Аутлет
Walmart,1197831,10/30/2020,Юг,Техас,Хьюстон,Мужская одежда,45,650,"0,30",Аутлет
Walmart,1197831,10/31/2020,Юг,Техас,Хьюстон,Женская одежда,55,900,"0,50",Аутлет
West Gear,1128299,11/1/2020,Юг,Техас,Хьюстон,Мужская уличная обувь,40,775,"0,35",Аутлет
West Gear,1128299,11/2/2020,Юг,Техас,Хьюстон,Мужская спортивная обувь,50,775,"0,20",Аутлет
West Gear,1128299,11/3/2020,Юг,Техас,Хьюстон,Женская уличная обувь,50,775,"0,35",Аутлет
West Gear,1128299,11/4/2020,Юг,Техас,Хьюстон,Женская спортивная обувь,50,625,"0,30",Аутлет
West Gear,1128299,11/5/2020,Запад,Калифорния,Сан-Франциско,Мужская одежда,55,575,"0,50",Аутлет
West Gear,1128299,11/6/2020,Запад,Калифорния,Сан-Франциско,Женская одежда,50,775,"0,15",Аутлет
West Gear,1128299,11/7/2020,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,40,825,"0,35",Аутлет
West Gear,1128299,11/8/2020,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,50,725,"0,20",Аутлет
West Gear,1128299,11/9/2020,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,50,725,"0,35",Аутлет
West Gear,1128299,11/10/2020,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,50,575,"0,30",Аутлет
West Gear,1128299,11/11/2020,Запад,Калифорния,Сан-Франциско,Мужская одежда,55,500,"0,50",Аутлет
West Gear,1128299,11/12/2020,Запад,Калифорния,Сан-Франциско,Женская одежда,50,700,"0,15",Аутлет
West Gear,1128299,11/13/2020,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,50,850,"0,35",Аутлет
West Gear,1128299,11/14/2020,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,60,700,"0,20",Аутлет
West Gear,1128299,11/15/2020,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,60,700,"0,35",Аутлет
West Gear,1128299,12/22/2020,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,60,600,"0,30",Аутлет
West Gear,1128299,12/23/2020,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,500,"0,50",Аутлет
West Gear,1128299,12/24/2020,Запад,Калифорния,Сан-Франциско,Женская одежда,60,700,"0,15",Аутлет
West Gear,1128299,12/25/2020,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,60,875,"0,35",Аутлет
West Gear,1128299,12/26/2020,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,65,675,"0,20",Аутлет
West Gear,1128299,12/27/2020,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,65,725,"0,35",Аутлет
West Gear,1128299,12/28/2020,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,60,625,"0,30",Аутлет
West Gear,1128299,12/29/2020,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,525,"0,50",Аутлет
West Gear,1128299,12/30/2020,Запад,Калифорния,Сан-Франциско,Женская одежда,80,700,"0,15",Аутлет
West Gear,1128299,12/31/2020,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,60,900,"0,40",Аутлет
West Gear,1128299,1/1/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,65,750,"0,25",Аутлет
West Gear,1128299,1/2/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,65,750,"0,40",Аутлет
West Gear,1128299,1/3/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,60,650,"0,35",Аутлет
West Gear,1128299,1/4/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,550,"0,55",Аутлет
West Gear,1128299,1/5/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,80,725,"0,20",Аутлет
West Gear,1128299,1/6/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,60,975,"0,40",Аутлет
West Gear,1128299,1/7/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,65,825,"0,25",Аутлет
West Gear,1128299,1/8/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,65,825,"0,40",Аутлет
West Gear,1128299,1/9/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,60,700,"0,35",Аутлет
West Gear,1128299,1/10/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,575,"0,55",Аутлет
West Gear,1128299,1/11/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,80,875,"0,20",Аутлет
West Gear,1128299,1/12/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,60,1025,"0,35",Аутлет
West Gear,1128299,1/13/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,65,875,"0,20",Аутлет
West Gear,1128299,1/14/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,65,825,"0,35",Аутлет
West Gear,1128299,1/15/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,60,725,"0,30",Аутлет
West Gear,1128299,1/16/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,775,"0,50",Аутлет
West Gear,1128299,1/17/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,80,775,"0,15",Аутлет
West Gear,1128299,1/18/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,65,975,"0,35",Аутлет
West Gear,1128299,1/19/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,70,925,"0,20",Аутлет
West Gear,1128299,1/20/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,65,800,"0,35",Аутлет
West Gear,1128299,1/21/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,65,750,"0,30",Аутлет
West Gear,1128299,1/22/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,75,750,"0,50",Аутлет
West Gear,1128299,1/23/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,80,725,"0,15",Аутлет
West Gear,1128299,1/24/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,55,925,"0,30",Аутлет
West Gear,1128299,1/25/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,60,925,"0,15",Аутлет
West Gear,1128299,1/26/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,55,775,"0,30",Аутлет
West Gear,1128299,1/27/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,55,725,"0,25",Аутлет
West Gear,1128299,1/28/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,725,"0,45",Аутлет
West Gear,1128299,1/29/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,70,775,"0,10",Аутлет
West Gear,1128299,1/30/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,55,875,"0,30",Аутлет
West Gear,1128299,1/31/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,60,875,"0,15",Аутлет
West Gear,1128299,2/1/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,55,700,"0,30",Аутлет
West Gear,1128299,2/2/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,55,675,"0,25",Аутлет
West Gear,1128299,2/3/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,650,"0,45",Аутлет
West Gear,1128299,2/4/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,70,700,"0,10",Аутлет
West Gear,1128299,2/5/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,55,875,"0,30",Аутлет
West Gear,1128299,2/6/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,60,875,"0,15",Аутлет
West Gear,1128299,2/7/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,55,725,"0,30",Аутлет
West Gear,1128299,2/8/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,55,700,"0,25",Аутлет
West Gear,1128299,2/9/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,650,"0,45",Аутлет
West Gear,1128299,2/10/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,70,775,"0,10",Аутлет
West Gear,1128299,2/11/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,55,975,"0,30",Аутлет
West Gear,1128299,2/12/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,60,975,"0,15",Аутлет
West Gear,1128299,2/13/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,55,775,"0,30",Аутлет
West Gear,1128299,2/14/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,55,775,"0,25",Аутлет
West Gear,1128299,2/15/2021,Запад,Калифорния,Сан-Франциско,Мужская одежда,65,700,"0,45",Аутлет
West Gear,1128299,2/16/2021,Запад,Калифорния,Сан-Франциско,Женская одежда,70,800,"0,10",Аутлет
Kohl's,1189833,2/17/2021,Запад,Калифорния,Сан-Франциско,Мужская уличная обувь,35,700,"0,40",Аутлет
Kohl's,1189833,2/18/2021,Запад,Калифорния,Сан-Франциско,Мужская спортивная обувь,45,700,"0,25",Аутлет
Kohl's,1189833,3/9/2021,Запад,Калифорния,Сан-Франциско,Женская уличная обувь,45,700,"0,40",Аутлет
Kohl's,1189833,3/10/2021,Запад,Калифорния,Сан-Франциско,Женская спортивная обувь,45,550,"0,35",Аутлет
Kohl's,1189833,3/11/2021,Запад,Калифорния,Лос-Анджелес,Мужская одежда,50,500,"0,55",Аутлет
Kohl's,1189833,3/12/2021,Запад,Калифорния,Лос-Анджелес,Женская одежда,45,700,"0,20",Аутлет
Kohl's,1189833,3/13/2021,Запад,Калифорния,Лос-Анджелес,Мужская уличная обувь,35,750,"0,40",Аутлет
Kohl's,1189833,3/14/2021,Запад,Калифорния,Лос-Анджелес,Мужская спортивная обувь,45,650,"0,25",Аутлет
Kohl's,1189833,3/15/2021,Запад,Калифорния,Лос-Анджелес,Женская уличная обувь,45,675,"0,40",Аутлет
Kohl's,1189833,3/16/2021,Запад,Калифорния,Лос-Анджелес,Женская спортивная обувь,45,525,"0,35",Аутлет
Kohl's,1189833,3/17/2021,Запад,Калифорния,Лос-Анджелес,Мужская одежда,50,450,"0,55",Аутлет
Kohl's,1189833,3/18/2021,Запад,Калифорния,Лос-Анджелес,Женская одежда,45,650,"0,20",Аутлет
Kohl's,1189833,3/19/2021,Запад,Калифорния,Лос-Анджелес,Мужская уличная обувь,35,800,"0,40",Аутлет
